payment_id,amount,payment_method,initiated_by,approved_by,approval_threshold,status,approval_type,approval_outcome,approval_date,Does the payment amount fall within the defined approval threshold?,Does the payment currency comply with policy requirements?,Has the approval outcome been recorded correctly?,Has the payment been approved by an authorized approver?,Is the payment method authorized for this vendor?,Is the payment status valid for settlement?,Is the vendor included in the approved vendor list?,Was the approval obtained prior to payment initiation?
7ca00746-350b-478f-a6b4-c721d46edef9,39686.41,CreditCard,user002,manager001,261518.21,Held,Single,Approved,2025-08-02T14:47:49.822549+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
a9cfc34c-632f-455a-8760-de9097413443,199372.30,RTGS,user001,director001,59688.28,Processed,Dual,Approved,2025-07-31T05:47:49.822583+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
82122f00-09eb-45e6-a02f-7ba514f6d77f,376449.95,RTGS,user002,manager002,89943.25,Cancelled,Dual,Rejected,2025-08-05T18:47:49.822597+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
d6dccf28-f243-4258-aa3a-9ef54f47cce3,458046.19,RTGS,user001,director001,240091.29,Processed,Dual,Approved,2025-08-08T07:47:49.822609+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c3d0a7d6-1a6f-4786-8777-5e7ee751b2e5,111156.14,RTGS,user002,manager001,175185.56,Processed,Single,Approved,2025-08-03T04:47:49.822619+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
977d094f-3fae-4142-ab07-07e0d3f8ae7a,329084.42,RTGS,user002,manager001,168479.22,Cancelled,Dual,Approved,2025-07-24T18:47:49.822628+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable
b30f6220-1e77-4860-b517-71f45c865d81,193131.32,RTGS,user001,manager001,108904.93,Held,Dual,Approved,2025-08-07T15:47:49.822638+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
53695837-ffdd-449c-ba5b-799492f1c115,111052.26,CreditCard,user001,manager002,232162.44,Cancelled,Single,Approved,2025-08-19T01:47:49.822647+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
81ede458-9478-4a40-944f-87db8c6495e0,409739.22,RTGS,user001,manager002,91790.23,Cancelled,Dual,Rejected,2025-07-31T15:47:49.822655+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
701c88c4-57be-4c5c-b455-165395760b50,311369.70,RTGS,user001,manager001,123242.91,Processed,Dual,Rejected,2025-07-28T15:47:49.822664+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
